,system_time_stamp,triggers,trigger_n,occ,device_time_stamp,left_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_y,left_pupil_diameter,trigger_indx,trial_id,change_indx,xL_zscore,xR_zscore,yL_zscore,yR_zscore
25608,7157739435,,2,,254984398840.0,9.99072265625,-22.431671142578125,166.44595336914062,163.39254760742188,-1.0,827,166,0.0,0.5170731629693451,0.45441534257447747,-0.07941878292880573,-0.18111084536472982
25609,7157764442,,2,,254984423848.0,11.737213134765625,-23.463058471679688,145.57891845703125,164.9676055908203,-1.0,827,166,0.0,0.5926369404567872,0.41088329455989975,-1.2078862479613626,-0.1342380451319698
25610,7157789436,,2,,254984448843.0,11.82550048828125,-21.77667236328125,149.16189575195312,165.03443908691406,-1.0,827,166,0.0,0.5964567871825934,0.48206105578551656,-1.014122576107661,-0.1322491195531793
25611,7157814434,,2,,254984473841.0,12.374664306640625,-26.012588500976562,148.3728485107422,166.29327392578125,-1.0,827,166,0.0,0.6202169468199542,0.3032745810161344,-1.056793427229088,-0.09478693431924434
25612,7157864432,,2,,254984523840.0,18.15692138671875,-21.020706176757812,144.9965057373047,163.03990173339844,-1.0,827,166,0.0,0.8703924804109329,0.5139683280590689,-1.2393825198658655,-0.19160537939473588
25613,7157889429,,2,,254984548838.0,24.26318359375,-22.2667236328125,156.61778259277344,163.85028076171875,-1.0,827,166,0.0,1.1345864421691723,0.4613773273811525,-0.6109159989265629,-0.16748897561300458
25614,7157914415,,2,,254984573825.0,25.0062255859375,-21.83551025390625,150.49217224121094,164.23033142089844,-1.0,827,166,0.0,1.1667349482458858,0.47957766879064706,-0.9421826122389072,-0.15617889127717483
25615,7157939410,,2,,254984598820.0,6.957794189453125,-19.909332275390625,141.91941833496094,165.17169189453125,-1.0,827,166,0.0,0.38585027076374206,0.5608763912777716,-1.4057881944253785,-0.1281645566350925
25616,7157964410,,2,,254984623821.0,13.50360107421875,-24.670318603515625,143.31414794921875,169.2860565185547,-1.0,827,166,0.0,0.6690616028613484,0.35992813490038805,-1.3303626728389841,-0.005723482630644052
25617,7157989416,,2,,254984648828.0,24.066131591796875,-24.321929931640625,147.78326416015625,166.83609008789062,-1.0,827,166,0.0,1.126060776663285,0.3746326711729139,-1.088677533444029,-0.07863304424164337
25618,7158014404,,2,,254984673816.0,17.77032470703125,-19.620590209960938,147.50975036621094,171.535400390625,-1.0,827,166,0.0,0.853665961806538,0.5730634068648864,-1.1034688739006355,0.06121566950320067
25619,7158039400,,2,,254984698813.0,28.622833251953125,-19.971939086914062,154.6488800048828,164.7935333251953,-1.0,827,166,0.0,1.3232113449374105,0.5582339284043407,-0.7173921955501481,-0.13941833348878296
25661,7161564005,,2,,254988223508.0,-37.150238037109375,-41.23368835449219,166.8375701904297,182.6463623046875,-1.0,832,167,5.0,-1.5225308933921862,-0.33916655720796735,-0.058240554040727296,0.3918713683289314
25662,7161589001,,2,,254988248504.0,-24.4306640625,-52.71443176269531,170.43617248535156,184.388916015625,-1.0,832,167,0.0,-0.972204928621206,-0.8237374445818715,0.1363681015020993,0.4437287430088108
25663,7161913945,,2,,254988573456.0,14.165771484375,-15.285980224609375,165.22616577148438,184.3530731201172,-1.0,832,167,0.0,0.6977111134927158,0.7560154799441273,-0.14538362287865927,0.4426620794963499
25664,7161938941,,2,,254988598453.0,9.421783447265625,-10.865478515625,173.49290466308594,180.81362915039062,-1.0,832,167,0.0,0.49245739991742415,0.9425928085716361,0.3016729867634748,0.3373303063954785
25665,7162038929,,2,,254988698444.0,17.050048828125,-15.5809326171875,171.31060791015625,181.79953002929688,-1.0,832,167,0.0,0.8225024559570804,0.7435663433749296,0.18365665645589282,0.36667013733082326
25666,7162088933,,2,,254988748449.0,15.732391357421875,-15.855056762695312,170.9464874267578,183.09100341796875,-1.0,832,167,0.0,0.7654925969594518,0.73199631034515,0.1639654008176222,0.4051036266316607
25667,7162163926,,2,,254988823444.0,16.760223388671875,-15.496536254882812,148.5627899169922,177.2642364501953,-1.0,832,167,0.0,0.8099628485063433,0.7471284837972902,-1.0465215942581627,0.23170246492077803
25668,7162338892,,2,,254988998414.0,-55.581756591796875,-30.198394775390625,159.62652587890625,137.21849060058594,-1.0,832,167,0.0,-2.319990246280153,0.12660310699653218,-0.44820630282758783,-0.9600354045197949
25669,7162488886,,2,,254989148412.0,-6.5713653564453125,-48.318023681640625,168.08653259277344,167.5598602294922,-1.0,832,167,0.0,-0.19950327916643354,-0.6381770423197412,0.009302028891164264,-0.05709407004557751
25670,7162588873,,2,,254989248403.0,-29.477828979492188,-52.65594482421875,172.71046447753906,170.6392059326172,-1.0,832,167,0.0,-1.1905759139896268,-0.8212688703206332,0.2593594383152813,0.03454544895089455
25671,7162638858,,2,,254989298389.0,-21.902633666992188,-51.086669921875,180.09136962890625,171.6804656982422,-1.0,832,167,0.0,-0.8628269911875016,-0.755034053904566,0.6585110840038402,0.06553272783141095
25772,7165788488,,2,,254992448100.0,12.290252685546875,-20.212066650390625,155.47877502441406,179.7448272705078,-1.0,837,168,5.0,0.6165647878003966,0.5480987984410988,-0.672512339217991,0.3055233903757574
25773,7165813497,,2,,254992473109.0,21.850616455078125,-14.083084106445312,146.9990692138672,182.44650268554688,-1.0,837,168,0.0,1.0302041459684745,0.8067864464810943,-1.1310859775213724,0.3859236634816717
25774,7165838492,,2,,254992498105.0,17.142578125,-16.5391845703125,158.20494079589844,185.37759399414062,-1.0,837,168,0.0,0.8265058348968124,0.7031211402427194,-0.5250841401296656,0.4731512187969729
25775,7165863489,,2,,254992523103.0,21.318115234375,-19.431365966796875,156.28086853027344,183.89288330078125,-1.0,837,168,0.0,1.007164911430419,0.5810500464197039,-0.62913595972332,0.4289671008363632
25776,7165888487,,2,,254992548101.0,14.514801025390625,-19.016647338867188,156.17022705078125,178.36602783203125,-1.0,837,168,0.0,0.7128122496845744,0.5985541893485309,-0.6351193354360595,0.2644911291371533
25777,7165913483,,2,,254992573098.0,25.343505859375,-18.413131713867188,156.24644470214844,177.37559509277344,-1.0,837,168,0.0,1.1813277398164395,0.6240269389390593,-0.6309975644134235,0.23501643270023304
25778,7165938480,,2,,254992598096.0,18.71746826171875,-18.804931640625,161.0870361328125,177.19830322265625,-1.0,837,168,0.0,0.8946451401619216,0.6074901319195407,-0.36922343291715276,0.22974033080526352
25779,7165988475,,2,,254992648092.0,15.73077392578125,-19.301864624023438,157.6082763671875,190.97598266601562,-1.0,837,168,0.0,0.7654226170505449,0.5865159451296253,-0.5573511295787416,0.6397559765951256
25780,7166013463,,2,,254992673080.0,16.50146484375,-13.308746337890625,156.89776611328125,181.2040557861328,-1.0,837,168,0.0,0.7987673834568749,0.8394691331586464,-0.5957747824111781,0.3489491736978785
25781,7166038470,,2,,254992698088.0,31.451751708984375,-17.309051513671875,156.94912719726562,182.02685546875,-1.0,837,168,0.0,1.4456075259912626,0.6706271549109912,-0.5929972286049333,0.37343520885429826
25782,7166063467,,2,,254992723086.0,20.32623291015625,-17.460235595703125,152.0517578125,188.48910522460938,-1.0,837,168,0.0,0.964250062387157,0.664246086875419,-0.8578418525887374,0.5657479649898126
25783,7166088464,,2,,254992748083.0,19.518218994140625,-15.332138061523438,164.0524444580078,191.156005859375,-1.0,837,168,0.0,0.9292904765734087,0.754067283455673,-0.20885724626848517,0.6451133610651189
25784,7166138447,,2,,254992798068.0,25.696044921875,-22.820953369140625,162.4341278076172,189.9409637451172,-1.0,837,168,0.0,1.1965807192068696,0.4379848008179656,-0.2963741213673289,0.6089544215871493
25785,7166188452,,2,,254992848074.0,28.179718017578125,-24.1783447265625,163.71701049804688,192.21942138671875,-1.0,837,168,0.0,1.3040394906481925,0.3806930113237753,-0.22699716466500294,0.6767599823977822
25786,7166213439,,2,,254992873061.0,-1.38360595703125,-18.704635620117188,164.4295654296875,190.1959228515625,-1.0,837,168,0.0,0.02495067677433067,0.6117233535785856,-0.1884629377951223,0.6165418548054165
25787,7166263432,,2,,254992923056.0,30.93988037109375,-20.208389282226562,160.4827117919922,185.2534942626953,-1.0,837,168,0.0,1.4234608653856804,0.5482540101282781,-0.40190466241695194,0.4694580836982736
25788,7166288440,,2,,254992948064.0,-25.581008911132812,-30.80865478515625,170.87020874023438,187.62713623046875,-1.0,837,168,0.0,-1.021975828173887,0.10084569530752562,0.1598403290774506,0.5400962741345903
25789,7166388416,,2,,254993048043.0,-9.461013793945312,-41.485748291015625,178.47767639160156,187.79107666015625,-1.0,837,168,0.0,-0.32452700774339477,-0.3498053201146708,0.5712442382583216,0.5449750450063996
25790,7166613391,,2,,254993273024.0,-25.8868408203125,-55.4256591796875,174.9846954345703,187.78536987304688,-1.0,837,168,0.0,-1.0352079726476748,-0.9381709641382487,0.38234747441092765,0.544805214374786
25791,7166713389,,2,,254993373024.0,-34.42280578613281,-51.19859313964844,174.81019592285156,180.37005615234375,-1.0,837,168,0.0,-1.4045256215283337,-0.7597580278691323,0.3729107229765203,0.32412983457460204
25792,7166738388,,2,,254993398024.0,-33.381988525390625,-46.51902770996094,165.43890380859375,182.2200927734375,-1.0,837,168,0.0,-1.3594935501467271,-0.5622463256941926,-0.1338789719081707,0.37918583751407053
25793,7166763387,,2,,254993423023.0,-28.526519775390625,-50.88995361328125,163.70033264160156,181.12925720214844,-1.0,837,168,0.0,-1.1494165043594167,-0.7467311946883167,-0.2278990857316178,0.3467232117829856
25794,7166788380,,2,,254993448017.0,-16.437454223632812,-46.99407958984375,168.5419464111328,179.25047302246094,-1.0,837,168,0.0,-0.6263701604935601,-0.5822969707437962,0.033930332783375025,0.29081169838907844
25795,7166813378,,2,,254993473016.0,-34.71563720703125,-49.39137268066406,168.20860290527344,182.294677734375,-1.0,837,168,0.0,-1.4171952859795867,-0.6834801780510955,0.015903463962453082,0.38140544213259286
