"","left","right","left_selected","right_selected","right_rew_dbl","left_rew_dbl","stim1","stim2","trigger_integer","block","trial_n","trial_id","right_rew","left_rew","typeOfChoice","correct"
"165","p_4.png","g_4.png","p_4_d.png","g_4_d.png",48,69,2,4,24,4,165,705,"4 8","6 9",5,0
"166","y_4.png","b_4.png","y_4_d.png","b_4_d.png",75,46,3,1,31,4,166,706,"7 5","4 6",2,1
"167","p_4.png","y_4.png","p_4_d.png","y_4_d.png",41,54,2,3,23,4,167,707,"4 1","5 4",4,0
"168","p_4.png","b_4.png","p_4_d.png","b_4_d.png",48,55,2,1,21,4,168,708,"4 8","5 5",1,NA
"169","p_4.png","g_4.png","p_4_d.png","g_4_d.png",44,60,2,4,24,4,169,709,"4 4","6 0",5,0
"170","y_4.png","b_4.png","y_4_d.png","b_4_d.png",52,43,3,1,31,4,170,710,"5 2","4 3",2,1
"171","b_4.png","p_4.png","b_4_d.png","p_4_d.png",63,79,1,2,12,4,171,711,"6 3","7 9",1,NA
"172","g_4.png","p_4.png","g_4_d.png","p_4_d.png",52,49,4,2,42,4,172,712,"5 2","4 9",5,1
"173","y_4.png","b_4.png","y_4_d.png","b_4_d.png",88,7,3,1,31,4,173,713,"8 8","0 7",2,1
"174","p_4.png","y_4.png","p_4_d.png","y_4_d.png",27,69,2,3,23,4,174,714,"2 7","6 9",4,0
"175","g_4.png","b_4.png","g_4_d.png","b_4_d.png",56,43,4,1,41,4,175,715,"5 6","4 3",3,1
"176","g_4.png","y_4.png","g_4_d.png","y_4_d.png",18,39,4,3,43,4,176,716,"1 8","3 9",6,NA
"177","p_4.png","b_4.png","p_4_d.png","b_4_d.png",32,48,2,1,21,4,177,717,"3 2","4 8",1,NA
"178","b_4.png","g_4.png","b_4_d.png","g_4_d.png",36,39,1,4,14,4,178,718,"3 6","3 9",3,0
"179","g_4.png","y_4.png","g_4_d.png","y_4_d.png",47,35,4,3,43,4,179,719,"4 7","3 5",6,NA
"180","y_4.png","g_4.png","y_4_d.png","g_4_d.png",43,32,3,4,34,4,180,720,"4 3","3 2",6,NA
